location,A,B,C
강릉,30.0,18.1,29.4
강진군,21.8,19.3,24.1
강화,24.8,22.4,27.3
거제,23.3,19.8,25.3
경주시,25.7,20.2,27.1
고산,23.3,23.2,26.6
고창군,22.7,19.6,24.8
고흥,21.8,19.3,24.1
광양시,22.9,20.4,25.2
광주,22.2,22.0,25.4
구미,23.3,18.6,24.9
군산,22.7,20.7,25.2
금산,24.0,20.5,26.0
김해시,23.7,21.0,26.0
남원,23.1,20.0,25.2
남해,22.6,20.5,25.1
대관령,23.1,17.7,24.5
대구,24.9,18.5,26.0
대전,24.8,18.9,26.0
동두천,26.7,22.3,28.5
동해,29.6,17.7,29.0
목포,22.0,21.6,25.1
문경,25.4,20.2,26.9
밀양,22.8,19.3,24.8
백령도,21.5,20.9,24.5
보령,24.4,20.9,26.4
보성군,22.2,20.4,24.8
보은,24.9,19.4,26.3
봉화,24.4,18.5,25.6
부산,23.8,19.7,25.6
부안,22.5,20.4,25.0
부여,23.6,20.9,25.9
북강릉,30.4,18.1,29.7
북부산,23.5,19.6,25.4
북창원,24.6,20.9,26.6
북춘천,28.0,21.5,29.1
산청,21.4,20.0,24.1
상주,26.4,20.7,27.7
서귀포,24.1,23.9,27.4
서산,25.5,21.7,27.5
서울,27.5,21.5,28.8
서청주,25.6,21.2,27.4
성산,26.8,24.8,29.5
세종,25.3,19.4,26.5
속초,29.3,21.2,29.9
수원,27.4,20.7,28.4
순창군,22.6,20.1,24.9
안동,25.7,20.2,27.1
양산시,25.0,21.0,26.9
양평,26.7,18.8,27.3
여수,21.4,20.0,24.1
영광군,22.7,20.6,25.2
영덕,27.6,18.3,27.8
영월,26.8,17.8,27.1
영주,25.0,19.5,26.4
영천,24.8,19.1,26.1
완도,21.4,21.2,24.6
울릉도,25.4,19.0,26.5
울산,22.8,20.3,25.1
울진,29.4,18.5,29.1
원주,26.9,17.9,27.2
의령군,23.3,21.5,25.9
의성,26.0,19.8,27.2
이천,26.7,20.5,27.9
인제,27.4,19.9,28.2
인천,25.7,21.3,27.5
임실,21.3,19.4,23.8
장수,20.7,19.1,23.3
장흥,21.7,20.8,24.6
전주,21.9,20.1,24.5
정읍,22.9,19.4,24.9
제주,30.2,23.6,31.3
제천,26.5,19.3,27.4
진도군,23.7,22.8,26.7
진주,24.3,21.0,26.4
창원,24.5,20.1,26.2
천안,26.2,21.6,27.9
철원,25.2,21.4,27.2
청송군,26.3,19.1,27.2
청주,26.2,19.5,27.2
추풍령,24.8,19.1,26.1
춘천,28.1,20.1,28.7
충주,27.5,19.5,28.1
태백,25.1,16.2,25.4
통영,23.0,19.9,25.1
파주,25.9,22.9,28.2
포항,26.3,19.1,27.2
합천,22.7,20.0,25.0
해남,21.6,21.4,24.8
홍성,25.9,22.1,27.9
홍천,26.1,18.9,27.0
흑산도,24.6,21.7,26.8
